frame,prevSprite,thisSprite,x,y,width,height,velocityX,velocityY,preVelocityX,preVelocityY,changeConfidence
394,None,RdSmario5,364.0,21.0,22,24,11.0,12.0,0.0,0.0,0.768572539091
395,RdSmario5,regSmario1,76.5,310.0,21,26,-287.5,289.0,11.0,12.0,0.59451469779
396,regSmario1,regSmario1,76.5,310.0,21,26,0.0,0.0,-287.5,289.0,0.651884496212
397,regSmario1,regSmario1,76.5,310.0,21,26,0.0,0.0,0.0,0.0,0.651884675026
398,regSmario1,regSmario1,76.5,310.0,21,26,0.0,0.0,0.0,0.0,0.651884496212
399,regSmario1,regSmario1,76.5,310.0,21,26,0.0,0.0,0.0,0.0,0.651884317398
400,regSmario1,regSmario1,76.5,310.0,21,26,0.0,0.0,0.0,0.0,0.651884317398
401,regSmario1,regSmario1,76.5,310.0,21,26,0.0,0.0,0.0,0.0,0.651884317398
402,regSmario1,regSmario1,76.5,310.0,21,26,0.0,0.0,0.0,0.0,0.651884496212
403,regSmario1,regSmario1,76.5,310.0,21,26,0.0,0.0,0.0,0.0,0.651884675026
404,regSmario1,regSmario1,76.5,310.0,21,26,0.0,0.0,0.0,0.0,0.651884675026
405,regSmario1,regSmario6,76.0,310.0,26,26,-0.5,0.0,0.0,0.0,0.607186496258
406,regSmario6,regSmario6,76.0,310.0,26,26,0.0,0.0,-0.5,0.0,0.562494188547
407,regSmario6,regSmario6,76.0,310.0,26,26,0.0,0.0,0.0,0.0,0.562500059605
408,regSmario6,regSmario4G,80.0,310.0,18,26,4.0,0.0,0.0,0.0,0.59322053194
409,regSmario4G,regSmario4G,81.0,310.0,18,26,1.0,0.0,4.0,0.0,0.632385343313
410,regSmario4G,regSmario4G,83.0,310.0,18,26,2.0,0.0,1.0,0.0,0.657111227512
411,regSmario4G,regSmario5,86.0,311.0,22,24,3.0,1.0,2.0,0.0,0.635441839695
412,regSmario5,regSmario5,89.0,310.0,22,24,3.0,-1.0,3.0,1.0,0.592793762684
413,regSmario5,regSmario5,91.0,310.0,22,24,2.0,0.0,3.0,-1.0,0.591080754995
414,regSmario5,regSmario6,92.0,310.0,26,26,1.0,0.0,2.0,0.0,0.590116739273
415,regSmario6,regSmario13,96.0,309.0,24,24,4.0,-1.0,1.0,0.0,0.570725351572
416,regSmario13,regSmario7,98.5,308.0,27,26,2.5,-1.0,4.0,-1.0,0.53785559535
417,regSmario7,regSmario4G,107.0,310.0,18,26,8.5,2.0,2.5,-1.0,0.566199690104
418,regSmario4G,regSmario4,112.0,310.0,18,26,5.0,0.0,8.5,2.0,0.588809967041
419,regSmario4,regSmario8,118.0,311.0,22,26,6.0,1.0,5.0,0.0,0.548142194748
420,regSmario8,regSmario8,123.0,309.0,22,26,5.0,-2.0,6.0,1.0,0.571267694235
421,regSmario8,regSmario6,125.0,310.0,26,26,2.0,1.0,5.0,-2.0,0.649358928203
422,regSmario6,regSmario4,135.0,310.0,18,26,10.0,0.0,2.0,1.0,0.752516210079
423,regSmario4,regSmario4,139.0,310.0,18,26,4.0,0.0,10.0,0.0,0.832195013761
424,regSmario4,regSmario5,144.0,311.0,22,24,5.0,1.0,4.0,0.0,0.850716322661
425,regSmario5,regSmario6,144.0,310.0,26,26,0.0,-1.0,5.0,1.0,0.84688526392
426,regSmario6,regSmario6,146.0,310.0,26,26,2.0,0.0,0.0,-1.0,0.835799962283
427,regSmario6,regSmario4,151.0,310.0,18,26,5.0,0.0,2.0,0.0,0.843121379614
428,regSmario4,regSmario4,152.0,310.0,18,26,1.0,0.0,5.0,0.0,0.844267725944
429,regSmario4,regSmario5,154.0,311.0,22,24,2.0,1.0,1.0,0.0,0.839440822601
430,regSmario5,regSmario6,154.0,310.0,26,26,0.0,-1.0,2.0,1.0,0.838835567236
431,regSmario6,regSmario6,155.0,310.0,26,26,1.0,0.0,0.0,-1.0,0.83215162158
432,regSmario6,regSmario4,160.0,310.0,18,26,5.0,0.0,1.0,0.0,0.835320264101
433,regSmario4,regSmario4,162.0,310.0,18,26,2.0,0.0,5.0,0.0,0.850937634707
434,regSmario4,regSmario5,163.0,311.0,22,24,1.0,1.0,2.0,0.0,0.854127436876
435,regSmario5,regSmario6,163.0,310.0,26,26,0.0,-1.0,1.0,1.0,0.839962035417
436,regSmario6,regSmario6,165.0,310.0,26,26,2.0,0.0,0.0,-1.0,0.83633929491
437,regSmario6,regSmario4,170.0,310.0,18,26,5.0,0.0,2.0,0.0,0.851140111685
438,regSmario4,regSmario4,172.0,310.0,18,26,2.0,0.0,5.0,0.0,0.856807261706
439,regSmario4,regSmario5,173.0,311.0,22,24,1.0,1.0,2.0,0.0,0.85356760025
440,regSmario5,regSmario6,173.0,310.0,26,26,0.0,-1.0,1.0,1.0,0.847733289003
441,regSmario6,regSmario6,175.0,310.0,26,26,2.0,0.0,0.0,-1.0,0.837279975414
442,regSmario6,regSmario4,180.0,310.0,18,26,5.0,0.0,2.0,0.0,0.845136493445
