frame,spritename,x,y,w,h,confidence
401,ground.png,52,322,26,38,0.99174
401,ground.png,181,322,26,38,0.945041
401,ground.png,26,322,26,38,0.970057
401,ground.png,284,322,26,38,0.966091
401,ground.png,335,322,26,38,0.949352
401,ground.png,310,322,26,38,0.87868
401,ground.png,258,322,26,38,0.997273
401,ground.png,155,322,26,38,0.97636
401,ground.png,78,322,26,38,0.956146
401,ground.png,0,322,26,38,0.875674
401,ground.png,232,322,26,38,0.968942
401,largeHillS.png,0,265,130,56,0.931011
401,largeHillS.png,3,260,130,56,0.773825
401,smallHillS.png,26,265,78,30,0.974557
401,smallHillS.png,23,269,78,30,0.788312
401,smallHillS.png,30,263,78,30,0.753465
401,smallHillS.png,29,269,78,30,0.772205
402,bush2S.png,322,295,78,26,0.773027
402,bush3S.png,296,295,104,26,0.944192
402,cloud1S.png,219,64,52,39,0.95595
402,ground.png,129,322,26,38,0.947971
402,ground.png,206,322,26,38,0.871086
402,ground.png,104,322,26,38,0.878209
402,ground.png,361,322,26,38,0.976491
402,ground.png,52,322,26,38,0.99174
402,ground.png,181,322,26,38,0.94504
402,ground.png,26,322,26,38,0.970057
402,ground.png,284,322,26,38,0.966091
402,ground.png,335,322,26,38,0.949352
402,ground.png,310,322,26,38,0.87868
402,ground.png,258,322,26,38,0.997273
402,ground.png,155,322,26,38,0.976359
402,ground.png,78,322,26,38,0.956146
402,ground.png,0,322,26,38,0.875673
402,ground.png,232,322,26,38,0.968942
402,largeHillS.png,0,265,130,56,0.931011
402,largeHillS.png,3,260,130,56,0.773825
402,smallHillS.png,26,265,78,30,0.974557
402,smallHillS.png,23,269,78,30,0.788312
402,smallHillS.png,30,263,78,30,0.753465
402,smallHillS.png,29,269,78,30,0.772205
403,bush2S.png,322,295,78,26,0.773027
403,bush3S.png,296,295,104,26,0.944192
403,cloud1S.png,219,64,52,39,0.95595
403,ground.png,129,322,26,38,0.947971
403,ground.png,206,322,26,38,0.871086
403,ground.png,104,322,26,38,0.878209
403,ground.png,361,322,26,38,0.976491
403,ground.png,52,322,26,38,0.99174
403,ground.png,181,322,26,38,0.94504
403,ground.png,26,322,26,38,0.970057
403,ground.png,284,322,26,38,0.966091
403,ground.png,335,322,26,38,0.949352
403,ground.png,310,322,26,38,0.87868
403,ground.png,258,322,26,38,0.997273
403,ground.png,155,322,26,38,0.976359
403,ground.png,78,322,26,38,0.956146
403,ground.png,0,322,26,38,0.875673
403,ground.png,232,322,26,38,0.968942
403,largeHillS.png,0,265,130,56,0.931011
403,largeHillS.png,3,260,130,56,0.773825
